artist,chart_position,country,production_house,title,week,weeks_on_chart
DRAKE FT RICK ROSS,13,UK,CASH MONEY/REPUBLIC RECORDS,MONEY IN THE GRAVE,25,1
SIGALA & BECKY HILL,14,UK,MINISTRY OF SOUND,WISH YOU WELL,25,4
CALVIN HARRIS & RAG'N'BONE MAN,26,UK,COLUMBIA,GIANT,19,17
DIGGA D,27,UK,CGM,NO DIET,19,3
JAY1,28,UK,GRM,YOUR MRS,19,6
SIGRID,29,UK,ISLAND,DON'T FEEL LIKE CRYING,19,13
ZARA LARSSON,38,UK,BLACK BUTTER/EPIC/TEN,DON'T WORRY BOUT ME,20,7
MARK RONSON FT LYKKE LI,39,UK,COLUMBIA,LATE NIGHT FEELINGS,20,5
A BOOGIE WIT DA HOODIE/6IX9INE,40,UK,ATLANTIC,SWERVIN,20,20
AVA MAX,41,UK,ATLANTIC,SWEET BUT PSYCHO,20,30
SKEPTA,42,UK,BOY BETTER KNOW,BULLET FROM A GUN,20,1
5 SECONDS OF SUMMER,29,UK,POLYDOR,EASIER,22,1
MARK RONSON FT LYKKE LI,30,UK,COLUMBIA,LATE NIGHT FEELINGS,22,7
JESS GLYNNE & JAX JONES,31,UK,ATLANTIC,ONE TOUCH,22,1
BTS & HALSEY,29,UK,ASTRALWERKS/BIGHIT ENT,BOY WITH LUV,18,3
KYGO & RITA ORA,30,UK,COLUMBIA,CARRY ON,18,2
CHAINSMOKERS & BEBE REXHA,56,UK,DISRUPTOR/PARLOPHONE,CALL YOU MINE,23,1
CHERYL,57,UK,3 BEAT,LET YOU,23,1
NOT3S,58,UK,COLUMBIA,WANTING,23,6
KHALID,52,UK,RIGHT HAND MUSIC,MY BAD,16,6
RODDY RICCH/CHIP/YXNG BANE,67,UK,THE PLUG,HOW IT IS,17,8
JONAS BROTHERS,68,UK,POLYDOR,COOL,17,3
LOYLE CARNER & JORJA SMITH,69,UK,EMI,LOOSE ENDS,17,2
MARSHMELLO FT CHVRCHES,15,UK,JOYTIME/POSITIVA,HERE WITH ME,21,11
JONAS BLUE FT THERESA REX,16,UK,POSITIVA,WHAT I LIKE ABOUT YOU,21,9
TYLER THE CREATOR,17,UK,COLUMBIA,EARFQUAKE,21,1
JONAS BROTHERS,18,UK,HOLLYWOOD,SUCKER,21,12
SHAWN MENDES,15,UK,EMI,IF I CAN'T HAVE YOU,25,7
MABEL,16,UK,POLYDOR,MAD LOVE,25,2
KYGO & RITA ORA,30,UK,COLUMBIA,CARRY ON,19,3
ELLIE GOULDING,31,UK,POLYDOR,SIXTEEN,19,4
ED SHEERAN & JUSTIN BIEBER,1,UK,ASYLUM/DEF JAM,I DON'T CARE,27,8
BTS & HALSEY,43,UK,ASTRALWERKS/BIGHIT ENT,BOY WITH LUV,20,5
GEORGE EZRA,44,UK,COLUMBIA,PRETTY SHINING PEOPLE,20,16
BUGZY MALONE,45,UK,ILL GOTTEN,M.E.N. II,20,3
GEORGE EZRA,46,UK,COLUMBIA,SHOTGUN,20,60
DIGGA D,32,UK,CGM,NO DIET,22,6
DOMINIC FIKE,33,UK,COLUMBIA,3 NIGHTS,22,4
MARTIN GARRIX/MACKLEMORE/STUMP,34,UK,COLUMBIA,SUMMER DAYS,22,4
JAMES ARTHUR,35,UK,COLUMBIA,FALLING LIKE THE STARS,22,3
TOM WALKER,36,UK,RELENTLESS,JUST YOU AND I,22,20
ED SHEERAN & JUSTIN BIEBER,1,UK,ASYLUM/DEF JAM,I DON'T CARE,26,7
A BOOGIE WIT DA HOODIE/6IX9INE,31,UK,ATLANTIC,SWERVIN,18,18
AVA MAX,32,UK,ATLANTIC,SWEET BUT PSYCHO,18,28
LADY GAGA & BRADLEY COOPER,59,UK,INTERSCOPE,SHALLOW,23,36
POST MALONE FT SWAE LEE,60,UK,REPUBLIC RECORDS,SUNFLOWER,23,33
ZARA LARSSON,61,UK,BLACK BUTTER/EPIC/TEN,DON'T WORRY BOUT ME,23,10
POLO G FT LIL TJAY,62,UK,COLUMBIA,POP OUT,23,3
ZARA LARSSON,53,UK,BLACK BUTTER/EPIC/TEN,DON'T WORRY BOUT ME,16,3
LEWIS CAPALDI,54,UK,EMI,BRUISES,16,11
DENNIS LLOYD,55,UK,WM ITALY,NEVERMIND,16,32
MARK RONSON FT MILEY CYRUS,56,UK,COLUMBIA,NOTHING BREAKS LIKE A HEART,16,20
MARSHMELLO FT BASTILLE,57,UK,POSITIVA,HAPPIER,16,35
KHALID & JOHN MAYER,58,UK,RIGHT HAND MUSIC,OUTTA MY HEAD,16,2
